City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Severobaykalsk,RU,2022-12-15 21:56:33,55.65,109.3167,-11.4,80,92,4.41
154,Kirakira,SB,2022-12-15 21:56:33,-10.4544,161.9205,84.02,70,6,3.38
155,Bonavista,CA,2022-12-15 21:56:34,48.6499,-53.1147,36.12,94,100,33.49
156,Salisbury,GB,2022-12-15 21:56:34,51.0693,-1.7957,32.45,87,9,6.91
157,Tuktoyaktuk,CA,2022-12-15 21:56:35,69.4541,-133.0374,-9.4,77,20,5.75
158,Adrar,MR,2022-12-15 21:56:35,20.5022,-10.0711,74.39,25,0,8.55
159,Sisophon,KH,2022-12-15 21:56:36,13.5859,102.9737,67.15,75,7,5.1
160,Klaksvik,FO,2022-12-15 21:56:36,62.2266,-6.589,25.72,53,100,10.49
161,Mount Isa,AU,2022-12-15 21:53:44,-20.7333,139.5,78.57,12,70,10.36
162,Iqaluit,CA,2022-12-15 21:56:37,63.7506,-68.5145,17.33,86,75,0.0
163,San Cristobal,VE,2022-12-15 21:56:37,7.7669,-72.225,77.18,71,27,3.44
164,Lagoa,PT,2022-12-15 21:56:38,39.05,-27.9833,55.94,84,96,16.17
165,Batagay,RU,2022-12-15 21:56:38,67.6333,134.6333,-54.53,99,62,1.25
166,Yarada,IN,2022-12-15 21:56:39,17.65,83.2667,75.42,76,53,3.51
167,Vostok,RU,2022-12-15 21:56:39,46.4856,135.8833,-15.56,97,100,4.97
168,Lavrentiya,RU,2022-12-15 21:56:40,65.5833,-171.0,-5.62,87,30,4.94
169,Houlton,US,2022-12-15 21:56:40,46.1262,-67.8403,32.72,75,100,10.38
170,Kutum,SD,2022-12-15 21:56:41,14.2,24.6667,60.66,30,79,8.52
171,Constitucion,CL,2022-12-15 21:56:41,-35.3333,-72.4167,69.6,58,3,19.35
172,Coquimbo,CL,2022-12-15 21:56:42,-29.9533,-71.3436,65.93,77,20,12.66
173,Asfi,MA,2022-12-15 21:56:42,32.2994,-9.2372,64.08,70,12,18.05
174,Berlevag,NO,2022-12-15 21:56:42,70.8578,29.0864,33.8,93,100,27.63
175,Rocha,UY,2022-12-15 21:54:03,-34.4833,-54.3333,64.42,50,51,14.99
176,Camalu,MX,2022-12-15 21:56:43,30.85,-116.0667,60.35,43,90,6.15
177,Kruisfontein,ZA,2022-12-15 21:56:44,-34.0033,24.7314,67.39,89,30,1.81
178,Saint-Pierre,RE,2022-12-15 21:57:44,-21.3393,55.4781,76.68,83,0,4.61
179,George,ZA,2022-12-15 21:57:45,-33.963,22.4617,67.55,94,75,4.61
180,Vagur,FO,2022-12-15 21:57:45,61.4732,-6.8119,34.48,52,100,10.54
181,Meulaboh,ID,2022-12-15 21:57:46,4.1363,96.1285,76.03,91,99,6.31
182,Kaitangata,NZ,2022-12-15 21:57:46,-46.2817,169.8464,62.82,78,97,4.83
183,Tungor,RU,2022-12-15 21:57:47,53.3808,142.9564,-1.12,90,100,31.23
184,Egvekinot,RU,2022-12-15 21:57:47,66.3167,-179.1667,-8.41,92,100,0.67
185,Luderitz,NA,2022-12-15 21:57:48,-26.6481,15.1594,66.78,91,6,2.19
186,Serov,RU,2022-12-15 21:57:48,59.6033,60.5787,2.34,96,62,4.63
187,Avarua,CK,2022-12-15 21:57:48,-21.2078,-159.775,77.05,94,100,19.57
188,Broumov,CZ,2022-12-15 21:57:49,50.5857,16.3318,21.72,100,99,2.62
189,Sangar,RU,2022-12-15 21:57:50,63.9242,127.4739,-49.85,100,68,0.58
190,Chaiya,TH,2022-12-15 21:57:50,9.3862,99.1986,77.56,84,92,11.05
191,Torbay,CA,2022-12-15 21:57:50,47.6666,-52.7314,38.88,97,100,25.99
192,Inskoy,RU,2022-12-15 21:57:51,54.4297,86.44,-9.4,98,18,2.28
193,Moose Factory,CA,2022-12-15 21:57:51,51.2585,-80.6094,26.58,86,0,12.66
194,Labuhan,ID,2022-12-15 21:56:25,-6.8844,112.2051,78.03,84,100,7.61
195,Guangyuan,CN,2022-12-15 21:57:52,32.442,105.823,42.57,59,98,8.55
196,Suntar,RU,2022-12-15 21:57:53,62.1444,117.6319,-7.89,94,100,8.1
197,Carballo,ES,2022-12-15 21:57:53,43.213,-8.691,53.01,92,100,2.64
198,Saint-Augustin,CA,2022-12-15 21:57:54,51.226,-58.6502,30.04,75,72,16.69
199,Norman Wells,CA,2022-12-15 21:57:54,65.282,-126.8329,-5.76,84,100,4.61
200,Chicama,PE,2022-12-15 21:57:55,-7.8447,-79.1469,75.74,66,64,9.28
201,Otane,NZ,2022-12-15 21:57:55,-39.8833,176.6333,71.01,63,99,8.93
202,Corrente,BR,2022-12-15 21:57:56,-3.7367,-43.3394,78.04,71,98,3.67
203,Rumphi,MW,2022-12-15 21:57:56,-11.0186,33.8575,65.34,87,26,1.21
204,Saskylakh,RU,2022-12-15 21:57:56,71.9167,114.0833,-31.85,100,99,1.43
205,Ancud,CL,2022-12-15 21:57:57,-41.8697,-73.8203,59.45,63,100,3.67
206,San Blas,MX,2022-12-15 21:57:57,21.5167,-105.2667,74.93,61,12,7.18
207,Kaeo,NZ,2022-12-15 21:57:58,-35.1,173.7833,73.87,69,100,3.18
208,Ketchikan,US,2022-12-15 21:57:58,55.3422,-131.6461,39.15,88,100,0.87
209,Werda,BW,2022-12-15 21:57:59,-25.2667,23.2833,74.32,63,97,9.19
210,Los Llanos De Aridane,ES,2022-12-15 21:57:59,28.6585,-17.9182,62.35,68,20,5.75
211,Nouakchott,MR,2022-12-15 21:58:00,18.0858,-15.9785,73.33,60,0,9.01
212,Leh,IN,2022-12-15 21:58:00,34.1667,77.5833,15.46,44,72,2.28
213,Riyadh,SA,2022-12-15 21:57:05,24.6877,46.7219,64.54,40,11,9.08
214,Blagoyevo,RU,2022-12-15 21:58:01,63.3667,47.9167,15.31,89,98,10.58
215,Kysyl-Syr,RU,2022-12-15 21:58:01,63.8986,122.7617,-36.06,100,99,2.48
216,Ponta Do Sol,PT,2022-12-15 21:58:02,32.6667,-17.1,65.03,76,51,13.27
217,Richards Bay,ZA,2022-12-15 21:58:02,-28.783,32.0377,73.74,96,93,2.71
218,Coihaique,CL,2022-12-15 21:58:03,-45.5752,-72.0662,61.41,64,100,7.27
219,Porterville,US,2022-12-15 21:58:03,36.0652,-119.0168,54.52,54,85,3.53
220,Nurota,UZ,2022-12-15 21:58:04,40.5614,65.6886,41.86,55,6,2.86
221,Qurayyat,SA,2022-12-15 21:58:04,31.3318,37.3428,51.98,71,0,0.0
222,Suez,EG,2022-12-15 21:58:05,29.9737,32.5263,62.74,70,0,6.33
223,Cherskiy,RU,2022-12-15 21:54:05,68.75,161.3,-38.49,98,69,1.28
224,Panormos,GR,2022-12-15 21:59:05,35.4182,24.6909,66.06,70,7,5.66
225,Helsinge,DK,2022-12-15 21:59:06,56.0228,12.1975,26.74,90,28,4.27
226,Tuatapere,NZ,2022-12-15 21:59:06,-46.1333,167.6833,63.01,81,70,3.11
227,Praia,CV,2022-12-15 21:59:07,14.9215,-23.5087,77.54,65,0,17.27
228,Coahuayana,MX,2022-12-15 21:59:07,18.7333,-103.6833,81.72,56,19,6.42
229,Puerto Ayora,EC,2022-12-15 21:59:08,-0.7393,-90.3518,78.76,90,85,5.01
230,Singaparna,ID,2022-12-15 21:59:08,-7.3515,108.111,71.37,96,100,0.38
231,Dengzhou,CN,2022-12-15 21:59:09,37.8086,120.7508,29.05,52,100,10.2
232,Gambela,ET,2022-12-15 21:58:35,8.25,34.5833,79.2,55,14,0.29
233,Khandyga,RU,2022-12-15 21:59:10,62.6667,135.6,-60.66,100,69,1.28
234,Greymouth,NZ,2022-12-15 21:59:10,-42.4667,171.2,63.52,96,100,4.41
235,Taoudenni,ML,2022-12-15 21:59:11,22.6783,-3.9836,78.04,16,0,5.19
236,Sisimiut,GL,2022-12-15 21:59:11,66.9395,-53.6735,26.28,93,100,17.4
237,Luanda,AO,2022-12-15 21:57:38,-8.8368,13.2343,78.8,83,20,6.91
238,Bethel,US,2022-12-15 21:59:12,41.3712,-73.414,39.02,82,100,1.99
239,Makakilo City,US,2022-12-15 21:59:13,21.3469,-158.0858,80.19,62,0,5.44
240,Nerja,ES,2022-12-15 21:59:13,36.7585,-3.8873,55.58,95,55,1.99
241,Cabo San Lucas,MX,2022-12-15 21:59:14,22.8909,-109.9124,77.61,55,21,6.31
242,Osorno,CL,2022-12-15 21:59:14,-40.5667,-73.15,70.25,49,0,9.22
243,Pangody,RU,2022-12-15 21:59:14,65.85,74.4859,10.31,85,100,19.08
244,Amahai,ID,2022-12-15 21:59:15,-3.3333,128.9167,79.21,80,86,2.82
245,Dergachi,RU,2022-12-15 21:59:15,51.2328,48.7659,19.71,98,92,6.2
246,Seymchan,RU,2022-12-15 21:59:16,62.8833,152.4333,-24.02,98,100,11.95
247,Leningradskiy,RU,2022-12-15 21:59:16,69.3833,178.4167,-16.73,87,54,5.26
248,Narsaq,GL,2022-12-15 21:59:17,60.9167,-46.05,8.22,73,69,6.62
249,North Branch,US,2022-12-15 21:59:17,45.5113,-92.9802,34.09,98,100,1.1
250,Kirkwall,GB,2022-12-15 21:59:18,58.9848,-2.9587,35.96,93,99,6.91
251,Plettenberg Bay,ZA,2022-12-15 21:56:30,-34.0527,23.3716,66.9,95,31,4.38
252,Hofn,IS,2022-12-15 21:59:19,64.2539,-15.2082,22.51,58,100,19.24
253,Peterhead,GB,2022-12-15 21:59:19,57.5058,-1.7981,32.4,81,36,15.66
254,Sosnovo-Ozerskoye,RU,2022-12-15 21:59:20,52.5249,111.5418,-14.39,88,19,8.57
255,Maniitsoq,GL,2022-12-15 21:59:20,65.4167,-52.9,29.71,87,100,17.02
256,Comodoro Rivadavia,AR,2022-12-15 21:56:23,-45.8667,-67.5,67.86,32,20,17.27
257,Hasaki,JP,2022-12-15 21:59:21,35.7333,140.8333,27.0,43,5,4.65
258,Valdez,EC,2022-12-15 21:59:22,1.2492,-78.9831,76.71,84,52,10.13
259,Yuzhou,CN,2022-12-15 21:59:22,34.1628,113.4639,29.41,36,100,9.75
260,Rawson,AR,2022-12-15 21:59:09,-43.3002,-65.1023,62.83,53,0,14.99
261,Komsomolskiy,UZ,2022-12-15 21:59:23,40.4272,71.7189,32.43,82,9,1.36
262,Basoko,CD,2022-12-15 21:59:24,1.2391,23.616,70.39,92,69,2.35
263,Labrea,BR,2022-12-15 21:59:24,-7.2586,-64.7981,81.12,81,95,1.39
264,Ust-Maya,RU,2022-12-15 21:59:25,60.4167,134.5333,-52.46,100,95,1.28
265,Khatanga,RU,2022-12-15 21:59:25,71.9667,102.5,-22.23,100,100,4.38
266,Itoman,JP,2022-12-15 21:59:26,26.1247,127.6694,66.22,94,75,13.8
267,Port Blair,IN,2022-12-15 22:00:26,11.6667,92.75,77.29,72,100,9.4
268,Businga,CD,2022-12-15 22:00:27,3.3333,20.8833,73.96,68,26,1.88
269,Joshimath,IN,2022-12-15 22:00:27,30.5667,79.5667,49.3,17,0,8.14
270,Tezu,IN,2022-12-15 22:00:28,27.9167,96.1667,61.27,67,70,2.1
271,Vila Velha,BR,2022-12-15 22:00:28,-20.3297,-40.2925,73.94,75,99,1.01
272,Lalmohan,BD,2022-12-15 22:00:29,22.3384,90.7419,64.4,47,11,9.46
273,Oistins,BB,2022-12-15 22:00:30,13.0667,-59.5333,79.52,81,0,15.21
274,Valenca,BR,2022-12-15 22:00:30,-13.3703,-39.0731,72.1,96,100,4.79
275,Trofors,NO,2022-12-15 22:00:31,65.5333,13.4063,12.07,92,86,9.1
276,Batemans Bay,AU,2022-12-15 22:00:31,-35.7167,150.1833,59.09,47,46,11.99
277,Minab,IR,2022-12-15 22:00:32,27.1467,57.0801,69.1,25,0,5.1
278,Iranshahr,IR,2022-12-15 22:00:33,27.2025,60.6848,57.24,28,0,2.19
279,Laguna,US,2022-12-15 22:00:33,38.421,-121.4238,57.31,63,0,5.75
280,Clarence Town,AU,2022-12-15 22:00:34,-32.5833,151.7833,60.94,77,89,5.17
281,Praya,CV,2022-12-15 21:58:10,14.9215,-23.5087,77.54,65,0,17.27
282,Chaplynka,UA,2022-12-15 22:00:35,46.3651,33.5403,41.61,97,100,7.76
283,Namibe,AO,2022-12-15 22:00:37,-15.1961,12.1522,69.87,78,99,4.09
284,Soligalich,RU,2022-12-15 22:00:37,59.0778,42.2864,18.19,90,100,10.33
285,Russell,US,2022-12-15 22:00:38,32.3502,-85.1999,58.19,57,0,7.72
286,Eenhana,NA,2022-12-15 22:00:38,-17.4667,16.3333,69.26,70,94,4.74
287,Turbat,PK,2022-12-15 22:00:39,26.0023,63.044,64.94,19,0,9.48
288,Cayenne,GF,2022-12-15 21:57:37,4.9333,-52.3333,78.84,89,75,6.91
289,Geraldton,AU,2022-12-15 22:00:40,-28.7667,114.6,66.61,59,0,8.05
290,Hyeres,FR,2022-12-15 22:00:41,43.1167,6.1167,56.95,87,100,8.05
291,Bairiki,KI,2022-12-15 22:00:41,1.3292,172.9752,80.53,76,11,5.59
292,Corinto,GR,2022-12-15 22:00:42,37.9407,22.9573,57.88,74,75,2.04
293,Peto,MX,2022-12-15 22:00:42,20.1333,-88.9167,92.35,32,1,1.3
294,Belmonte,BR,2022-12-15 22:00:43,-15.8631,-38.8828,69.44,95,100,4.09
295,Hauterive,FR,2022-12-15 22:00:44,46.0901,3.4459,39.96,96,100,4.94
