City_Id,City,Country,Max Temp,Lat,Lng,Hotel Name
419,Kalmunai,LK,74.73,7.4167,81.8167,Saji new food
421,Pizarro,CO,75.06,4.9533,-77.366,No hotel found
424,Narasannapeta,IN,78.12,18.4167,84.05,No hotel found
431,Banda Aceh,ID,75.63,5.5577,95.3222,Hotel 61
434,Saint-Pierre,RE,82.08,-21.3393,55.4781,Tropic Hotel
439,Dalby,AU,82.51,-27.1833,151.2667,No hotel found
441,Ambilobe,MG,80.26,-13.2,49.05,Hôtel National
445,Port Moresby,PG,83.8,-9.4431,147.1797,The Sanctuary Hotel and Spa
449,Mount Gambier,AU,75.69,-37.8333,140.7667,The Old Mount Gambier Gaol
452,Sundumbili,ZA,73.94,-29.1337,31.3975,No hotel found
454,Carutapera,BR,77.25,-1.195,-46.02,No hotel found
455,Dawei,MM,79.72,14.0833,98.2,Royal Dawei ဟိုတယ်
456,Davila,PH,82.38,18.4726,120.5763,Blue Ridge Beach Resort
457,Mangrol,IN,82.0,21.1167,70.1167,No hotel found
460,Kiunga,PG,86.88,-6.1219,141.2906,No hotel found
461,Basoko,CD,72.57,1.2391,23.616,No hotel found
462,Nieuw Amsterdam,SR,75.02,5.8833,-55.0833,Leonsberg Lodge
465,Ejura,GH,72.12,7.3856,-1.3562,No hotel found
466,Miandrivazo,MG,82.27,-19.5167,45.4667,Baobab
468,Thinadhoo,MV,81.54,0.5333,72.9333,No hotel found
470,Kupang,ID,86.58,-10.1667,123.5833,BIB & LANG GUEST HOUSE
471,Kanakapura,IN,78.08,12.55,77.4167,No hotel found
480,Gold Coast,AU,81.25,-28.0,153.4333,Zenith
483,Nizwa,OM,71.46,22.9333,57.5333,Nizwa Heritage Inn
487,Grand-Bourg,GP,73.35,15.8835,-61.3148,Coco Beach Resort
489,Sao Joao Da Barra,BR,71.13,-21.6403,-41.0511,Pousada Mediterrâneo
491,Sao Jose De Piranhas,BR,72.34,-7.1206,-38.5019,Hotel Pousada São José
494,Honiara,SB,82.58,-9.4333,159.95,King Solomon Hotel
497,Ugoofaaru,MV,81.16,5.6667,73.0,No hotel found
498,Sola,VU,81.28,-13.8833,167.55,No hotel found
499,Grand Gaube,MU,82.8,-20.0064,57.6608,Coco Villa
502,Seddon,AU,77.31,-37.8068,144.8916,Palms Hotel
503,Ciudad Bolivar,VE,74.46,8.1222,-63.5497,Paoca
505,Tucurui,BR,73.56,-3.7661,-49.6725,No hotel found
516,Moron,AR,70.97,-34.6534,-58.6198,La Esquina
528,Offa,NG,72.93,8.15,4.7167,No hotel found
532,Pochutla,MX,74.82,15.7432,-96.4661,Hotel El Patio
534,Port Lincoln,AU,74.48,-34.7333,135.8667,Boston Hotel
536,Lar,IN,70.88,26.2039,83.9717,No hotel found
537,Araguacu,BR,70.79,-12.9306,-49.8264,No hotel found
545,Matara,LK,82.85,5.9485,80.5353,Villa Palm Breeze
548,Niquero,CU,72.99,20.0431,-77.5828,Hotel Niquero
550,Morros,BR,72.25,-9.4467,-46.3003,No hotel found
551,Puerto Escondido,MX,75.42,15.85,-97.0667,Hotel Barlovento
554,Waingapu,ID,85.53,-9.6567,120.2641,HOTEL SANDLEWOOD
561,Diu,IN,85.37,20.7141,70.9822,Hotel Ankur
569,Alofi,NU,80.94,-19.0595,-169.9187,No hotel found
571,San Fernando,PH,89.33,15.0286,120.6898,Pampanga Lodge and Restaurant
572,Taganak,PH,80.42,6.0833,118.3,No hotel found
575,Chigorodo,CO,72.66,7.6664,-76.6811,Gran Hotel Principal
577,Vila Do Maio,CV,72.39,15.1333,-23.2167,Residencial Jardins De Maio
578,Sao Filipe,CV,75.36,14.8961,-24.4956,Bela Vista
579,Wangaratta,AU,82.47,-36.3667,146.3333,Hotel Pinsent
580,Bontang,ID,79.21,0.1333,117.5,Hotel Sederhana
