City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Kayes,ML,14.0,-11.0,70.25,16,2,2.86,clear sky
312,Mumford,GH,5.2618,-0.759,78.33,85,50,5.73,scattered clouds
313,Sanandaj,IR,35.3144,46.9923,32.02,93,20,0.0,few clouds
314,Kargasok,RU,59.0556,80.8572,2.53,94,70,10.76,broken clouds
315,Pilar,BR,-9.5972,-35.9567,71.53,84,89,6.15,overcast clouds
316,Bajil,YE,15.0584,43.2851,75.04,69,0,2.3,clear sky
317,Okakarara,NA,-20.5833,17.4333,66.45,45,32,7.02,scattered clouds
318,Suwannaphum,TH,15.6035,103.8021,71.1,45,52,24.61,broken clouds
319,Iqaluit,CA,63.7506,-68.5145,13.05,81,97,2.84,overcast clouds
320,Okha,RU,53.5739,142.9478,2.8,95,100,12.17,light snow
321,Skibbereen,IE,51.55,-9.2667,47.1,93,100,28.41,overcast clouds
322,Great Bend,US,38.3645,-98.7648,19.53,73,0,3.44,clear sky
323,Touros,BR,-5.1989,-35.4608,77.23,76,93,9.26,overcast clouds
324,Torrington,US,41.8007,-73.1212,34.21,96,26,3.13,scattered clouds
325,Mekhe,SN,15.1097,-16.6218,70.21,17,93,9.44,overcast clouds
326,Wajir,KE,1.7471,40.0573,77.68,64,61,13.42,broken clouds
327,Bahir Dar,ET,11.5936,37.3908,64.13,56,98,3.02,overcast clouds
328,Buta,CD,2.7858,24.73,71.26,78,45,2.21,scattered clouds
329,Urusha,RU,54.05,122.9,-9.54,78,100,4.7,overcast clouds
330,Armeria,MX,18.9333,-103.9667,68.79,84,100,3.42,overcast clouds
331,Quatre Cocos,MU,-20.2078,57.7625,82.51,66,53,15.95,broken clouds
332,Hambantota,LK,6.1241,81.1185,79.14,94,75,4.61,moderate rain
333,Eisiskes,LT,54.1667,25.0,3.83,99,67,6.8,broken clouds
334,Abha,SA,18.2164,42.5053,48.61,47,0,9.75,clear sky
335,Nyagan,RU,62.1406,65.3936,0.79,97,8,4.47,clear sky
336,Mazatlan,MX,23.2167,-106.4167,67.01,87,75,0.0,broken clouds
337,Salinopolis,BR,-0.6136,-47.3561,79.12,81,39,8.97,scattered clouds
338,Cockburn Town,TC,21.4612,-71.1419,78.46,70,8,18.21,clear sky
339,Port Hardy,CA,50.6996,-127.4199,36.16,71,86,6.62,overcast clouds
340,Zinder,NE,13.8072,8.9881,64.85,27,100,8.95,overcast clouds
341,Galesburg,US,40.9478,-90.3712,18.79,78,40,14.97,scattered clouds
342,Kindu,CD,-2.95,25.95,69.69,99,100,1.12,overcast clouds
343,Yatou,CN,37.15,122.3833,27.27,56,70,19.1,broken clouds
344,Sioux Lookout,CA,50.1001,-91.917,7.11,92,100,9.24,overcast clouds
345,Menongue,AO,-14.6585,17.691,64.27,87,100,4.07,overcast clouds
346,Tigil,RU,57.8,158.6667,23.7,95,100,7.85,light snow
347,Shelburne,CA,44.0787,-80.2041,24.76,95,82,10.6,broken clouds
